GEOID,county_name,state_name,year,median_home_value_with_mortgage,median_home_value_without_mortgage,pct_homeownership_black
42041,"Cumberland County, Pennsylvania",Pennsylvania,2023,269800,248700,26.2
12131,"Walton County, Florida",Florida,2023,427300,283800,59.7
37119,"Mecklenburg County, North Carolina",North Carolina,2023,376600,353000,42
24017,"Charles County, Maryland",Maryland,2023,410500,369700,77.3
53011,"Clark County, Washington",Washington,2023,493900,471000,41.8
04001,"Apache County, Arizona",Arizona,2023,222600,53300,15.8
51027,"Buchanan County, Virginia",Virginia,2023,140000,80000,0
21065,"Estill County, Kentucky",Kentucky,2023,134000,87500,0
13321,"Worth County, Georgia",Georgia,2023,123200,87900,55.7
01023,"Choctaw County, Alabama",Alabama,2023,134800,90500,77.7
13279,"Toombs County, Georgia",Georgia,2023,147200,93600,38.1
40111,"Okmulgee County, Oklahoma",Oklahoma,2023,143300,93900,57.2
54095,"Tyler County, West Virginia",West Virginia,2023,126700,105600,95.4
48311,"McMullen County, Texas",Texas,2023,95000,111400,0
31175,"Valley County, Nebraska",Nebraska,2023,141700,113000,0
46109,"Roberts County, South Dakota",South Dakota,2023,201400,113300,0
17177,"Stephenson County, Illinois",Illinois,2023,137400,117600,31.4
13043,"Candler County, Georgia",Georgia,2023,161600,123700,51.6
30003,"Big Horn County, Montana",Montana,2023,209400,129200,0
45017,"Calhoun County, South Carolina",South Carolina,2023,184900,130000,71
22017,"Caddo Parish, Louisiana",Louisiana,2023,193900,137400,47.5
55051,"Iron County, Wisconsin",Wisconsin,2023,159800,147300,0
29169,"Pulaski County, Missouri",Missouri,2023,202100,149000,38.2
01019,"Cherokee County, Alabama",Alabama,2023,198900,150000,50.1
17009,"Brown County, Illinois",Illinois,2023,133300,151400,98.2
31039,"Cuming County, Nebraska",Nebraska,2023,208300,160900,0
19157,"Poweshiek County, Iowa",Iowa,2023,192400,172100,51.4
01001,"Autauga County, Alabama",Alabama,2023,212300,176200,66
18003,"Allen County, Indiana",Indiana,2023,201900,177700,39.1
17203,"Woodford County, Illinois",Illinois,2023,208300,179700,62.7
13103,"Effingham County, Georgia",Georgia,2023,264000,188600,64.5
21117,"Kenton County, Kentucky",Kentucky,2023,235000,202600,30.2
41059,"Umatilla County, Oregon",Oregon,2023,274900,210900,100
42089,"Monroe County, Pennsylvania",Pennsylvania,2023,248500,225600,78.2
02105,"Hoonah-Angoon Census Area, Alaska",Alaska,2023,327900,251100,0
02240,"Southeast Fairbanks Census Area, Alaska",Alaska,2023,257700,269900,87.9
21067,"Fayette County, Kentucky",Kentucky,2023,272900,270100,36.3
51660,"Harrisonburg city, Virginia",Virginia,2023,275500,283200,19.4
41033,"Josephine County, Oregon",Oregon,2023,399600,353700,43
24037,"St. Mary's County, Maryland",Maryland,2023,399800,366300,50.1
13219,"Oconee County, Georgia",Georgia,2023,433900,397400,47.8
16081,"Teton County, Idaho",Idaho,2023,599800,589100,0
12087,"Monroe County, Florida",Florida,2023,734400,711300,18.6
48345,"Motley County, Texas",Texas,2023,87900,49300,100
38005,"Benson County, North Dakota",North Dakota,2023,135700,71400,0
48131,"Duval County, Texas",Texas,2023,168500,73800,0
29205,"Shelby County, Missouri",Missouri,2023,100200,81700,0
40063,"Hughes County, Oklahoma",Oklahoma,2023,126900,87000,39.5
21033,"Caldwell County, Kentucky",Kentucky,2023,140500,88100,42
40107,"Okfuskee County, Oklahoma",Oklahoma,2023,127300,101400,73.8
01099,"Monroe County, Alabama",Alabama,2023,140100,102900,55.3
38099,"Walsh County, North Dakota",North Dakota,2023,177800,110400,43.2
30051,"Liberty County, Montana",Montana,2023,181300,111200,0
39115,"Morgan County, Ohio",Ohio,2023,155200,119400,82.9
19039,"Clarke County, Iowa",Iowa,2023,172300,119500,0
31011,"Boone County, Nebraska",Nebraska,2023,206300,119900,0
29121,"Macon County, Missouri",Missouri,2023,131800,123500,61.8
18169,"Wabash County, Indiana",Indiana,2023,152600,126000,0
18023,"Clinton County, Indiana",Indiana,2023,168400,138200,0
